Source,Target,Type,Id,Label,timeset,Weight,d8,d9,d10
n319,n245,Directed,e270,,,1,,,
n62,n321,Directed,e271,,,1,,,
n61,n321,Directed,e272,,,1,,,
n229,n321,Directed,e273,,,1,,,
n71,n321,Directed,e274,,,1,,,
n153,n224,Directed,e275,,,1,,,
n224,n108,Directed,e276,,,1,,,
n323,n13,Directed,e277,,,1,,,
n322,n323,Directed,e278,,,1,,,
n325,n324,Directed,e279,,,1,,,
n324,n13,Directed,e280,,,1,,,
n326,n324,Directed,e281,,,1,,,
n329,n288,Directed,e282,,,1,,,
n328,n327,Directed,e283,,,1,,,
n330,n328,Directed,e284,,,1,,,
n331,n327,Directed,e285,,,1,,,
n332,n327,Directed,e286,,,1,,,
n333,n327,Directed,e287,,,1,,,
n334,n327,Directed,e288,,,1,,,
n335,n327,Directed,e289,,,1,,,
n336,n327,Directed,e290,,,1,,,
n288,n327,Directed,e291,,,1,,,
n337,n66,Directed,e292,,,1,,,
n338,n242,Directed,e293,,,1,,,
n31,n339,Directed,e294,,,1,,,
n340,n339,Directed,e295,,,1,,,
n341,n339,Directed,e296,,,1,,,
n342,n339,Directed,e297,,,1,,,
n343,n339,Directed,e298,,,1,,,
n344,n339,Directed,e299,,,1,,,
n345,n339,Directed,e300,,,1,,,
n347,n339,Directed,e301,,,1,,,
n346,n339,Directed,e302,,,1,,,
n348,n339,Directed,e303,,,1,,,
n349,n339,Directed,e304,,,1,,,
n350,n339,Directed,e305,,,1,,,
n339,n242,Directed,e306,,,1,,,
n318,n351,Directed,e307,,,1,,,
n354,n352,Directed,e308,,,1,,,
n352,n318,Directed,e309,,,1,,,
n353,n318,Directed,e310,,,1,,,
n357,n354,Directed,e311,,,1,,,
n356,n354,Directed,e312,,,1,,,
n355,n318,Directed,e313,,,1,,,
n351,n242,Directed,e314,,,1,,,
n358,n240,Directed,e315,,,1,,,
n359,n240,Directed,e316,,,1,,,
n360,n240,Directed,e317,,,1,,,
n362,n240,Directed,e318,,,1,,,
n361,n240,Directed,e319,,,1,,,
n363,n143,Directed,e320,,,1,,,
n166,n138,Directed,e321,,,1,,,
n364,n234,Directed,e322,,,1,,,
n365,n234,Directed,e323,,,1,,,
n366,n368,Directed,e324,,,1,,,
n367,n368,Directed,e325,,,1,,,
n369,n368,Directed,e326,,,1,,,
n372,n373,Directed,e327,,,1,,,
n371,n373,Directed,e328,,,1,,,
n371,n370,Directed,e329,,,1,,,
n372,n370,Directed,e330,,,1,,,
n374,n370,Directed,e331,,,1,,,
n375,n370,Directed,e332,,,1,,,
n376,n370,Directed,e333,,,1,,,
n118,n377,Directed,e334,,,1,,,
n378,n108,Directed,e335,,,1,,,
n380,n174,Directed,e336,,,1,,,
n159,n158,Directed,e337,,,1,,,
n382,n111,Directed,e338,,,1,,,
n381,n110,Directed,e339,,,1,,,
n385,n384,Directed,e340,,,1,,,
n384,n383,Directed,e341,,,1,,,
n118,n391,Directed,e342,,,1,,,
n110,n393,Directed,e343,,,1,,,
n110,n386,Directed,e344,,,1,,,
n110,n387,Directed,e345,,,1,,,
n110,n388,Directed,e346,,,1,,,
n110,n389,Directed,e347,,,1,,,
n110,n390,Directed,e348,,,1,,,
n347,n137,Directed,e349,,,1,,,
n346,n137,Directed,e350,,,1,,,
n345,n137,Directed,e351,,,1,,,
n50,n339,Directed,e352,,,1,,,
n286,n57,Directed,e353,,,1,,,
n289,n156,Directed,e354,,,1,,,
n211,n188,Directed,e355,,,1,,,
n392,n273,Directed,e356,,,1,,,
n242,n399,Directed,e357,,,1,,,
